Date,Open,High,Low,Close,Adj Close,Volume
1970-04-27,5.809295,5.809295,5.629006,5.659054,1.181909,697632
1970-04-28,5.659054,5.729167,5.578926,5.578926,1.165173,404352
1970-04-29,5.578926,5.719151,5.578926,5.719151,1.194460,491712
1970-04-30,5.719151,5.769231,5.608974,5.709135,1.192368,555360
1970-05-01,5.709135,5.729167,5.608974,5.719151,1.194460,355680
1970-05-04,5.719151,5.739183,5.468750,5.528846,1.154713,698880
1970-05-05,5.528846,5.568910,5.448718,5.458734,1.140070,313248
1970-05-06,5.478766,5.639022,5.478766,5.548878,1.158898,451776
1970-05-07,5.568910,5.669071,5.568910,5.618990,1.173541,227136
1970-05-08,5.618990,5.618990,5.498798,5.548878,1.158898,328224
1970-05-11,5.558894,5.629006,5.558894,5.558894,1.160990,313248
1970-05-12,5.538862,5.538862,5.448718,5.488782,1.146346,383136
1970-05-13,5.478766,5.478766,5.328526,5.328526,1.112877,360672
1970-05-14,5.328526,5.328526,5.188301,5.258413,1.098232,651456
1970-05-15,5.258413,5.358574,5.178285,5.338542,1.114968,606528
1970-05-18,5.368590,5.468750,5.368590,5.398638,1.127520,594048
1970-05-19,5.398638,5.408654,5.368590,5.368590,1.121244,202176
1970-05-20,5.368590,5.378606,5.128205,5.148237,1.075223,391872
1970-05-21,5.148237,5.168269,5.008013,5.088141,1.062672,509184
1970-05-22,5.088141,5.218349,5.008013,5.108173,1.066855,378144
1970-05-25,5.048077,5.048077,4.937901,4.947917,1.033385,677664
1970-05-26,4.947917,4.967949,4.847756,4.847756,1.012467,527904
1970-05-27,4.847756,5.078125,4.827724,5.038061,1.052212,685152
1970-05-28,5.058093,5.198317,5.058093,5.118189,1.068947,544128
1970-05-29,5.118189,5.348558,5.048077,5.318510,1.110785,751296
1970-06-01,5.318510,5.418670,5.318510,5.388622,1.125427,559104
1970-06-02,5.388622,5.408654,5.308494,5.368590,1.121244,789984
1970-06-03,5.368590,5.478766,5.348558,5.458734,1.140070,685152
1970-06-04,5.458734,5.488782,5.418670,5.418670,1.131703,403104
1970-06-05,5.418670,5.418670,5.338542,5.338542,1.114968,461760
1970-06-08,5.338542,5.428686,5.328526,5.398638,1.127520,411840
1970-06-09,5.398638,5.418670,5.388622,5.388622,1.125427,371904
1970-06-10,5.388622,5.388622,5.328526,5.328526,1.112877,331968
1970-06-11,5.318510,5.318510,5.238381,5.298478,1.117525,263328
1970-06-12,5.278446,5.278446,5.208333,5.278446,1.113299,328224
1970-06-15,5.278446,5.348558,5.268429,5.278446,1.113299,184704
1970-06-16,5.278446,5.418670,5.268429,5.408654,1.140761,380640
1970-06-17,5.408654,5.508814,5.388622,5.398638,1.138649,410592
1970-06-18,5.398638,5.518830,5.378606,5.488782,1.157662,341952
1970-06-19,5.548878,5.689103,5.548878,5.588942,1.178787,934752
1970-06-22,5.588942,5.659054,5.538862,5.639022,1.189350,409344
1970-06-23,5.639022,5.639022,5.538862,5.538862,1.168224,711360
1970-06-24,5.538862,5.578926,5.448718,5.518830,1.163999,584064
1970-06-25,5.518830,5.568910,5.498798,5.498798,1.159773,239616
1970-06-26,5.488782,5.488782,5.388622,5.398638,1.138649,426816
1970-06-29,5.398638,5.418670,5.368590,5.398638,1.138649,193440
1970-06-30,5.398638,5.468750,5.368590,5.408654,1.140761,279552
1970-07-01,5.408654,5.438702,5.388622,5.428686,1.144986,275808
1970-07-02,5.438702,5.548878,5.438702,5.488782,1.157662,421824
1970-07-06,5.488782,5.558894,5.388622,5.388622,1.136536,328224
1970-07-07,5.388622,5.438702,5.348558,5.388622,1.136536,273312
1970-07-08,5.388622,5.448718,5.368590,5.438702,1.147099,283296
1970-07-09,5.438702,5.478766,5.368590,5.448718,1.149211,399360
1970-07-10,5.568910,5.739183,5.568910,5.739183,1.210474,602784
1970-07-13,5.739183,5.799279,5.729167,5.779247,1.218925,299520
1970-07-14,5.779247,5.779247,5.709135,5.769231,1.216812,307008
1970-07-15,5.769231,5.819311,5.729167,5.789263,1.221038,421824
1970-07-16,5.849359,6.029647,5.849359,6.009615,1.267512,520416
1970-07-17,6.029647,6.139824,6.029647,6.139824,1.294976,557856
1970-07-20,6.139824,6.139824,6.049679,6.079728,1.282300,411840
1970-07-21,6.039663,6.039663,5.919471,5.939503,1.252726,552864
1970-07-22,5.949519,6.039663,5.949519,5.979567,1.261175,298272
1970-07-23,5.979567,6.089744,5.979567,6.089744,1.284413,1139424
1970-07-24,6.089744,6.139824,5.999599,6.139824,1.294976,500448
1970-07-27,6.129808,6.129808,6.039663,6.059696,1.278076,189696
1970-07-28,6.059696,6.119792,6.009615,6.109776,1.288638,341952
1970-07-29,6.119792,6.189904,6.119792,6.179888,1.303426,524160
1970-07-30,6.179888,6.229968,6.159856,6.179888,1.303426,349440
1970-07-31,6.179888,6.250000,6.139824,6.159856,1.299201,607776
1970-08-03,6.109776,6.109776,5.989583,6.009615,1.267512,275808
1970-08-04,6.009615,6.089744,5.939503,6.049679,1.275964,310752
1970-08-05,6.059696,6.139824,6.059696,6.089744,1.284413,277056
1970-08-06,6.079728,6.079728,6.039663,6.039663,1.273851,244608
1970-08-07,6.039663,6.109776,5.979567,6.049679,1.275964,389376
1970-08-10,6.049679,6.059696,5.969551,5.999599,1.265400,200928
1970-08-11,5.999599,5.999599,5.939503,5.959535,1.256951,308256
1970-08-12,5.959535,5.999599,5.929487,5.979567,1.261175,272064
1970-08-13,5.949519,5.949519,5.889423,5.889423,1.242163,250848
1970-08-14,5.889423,5.919471,5.879407,5.909455,1.246387,258336
1970-08-17,5.909455,5.929487,5.889423,5.929487,1.250613,198432
1970-08-18,5.929487,5.969551,5.909455,5.959535,1.256951,999648
1970-08-19,5.989583,6.089744,5.989583,6.029647,1.271737,537888
1970-08-20,6.029647,6.119792,6.009615,6.109776,1.288638,364416
1970-08-21,6.179888,6.330128,6.179888,6.330128,1.335114,507936
1970-08-24,6.330128,6.410256,6.330128,6.370192,1.343564,559104
1970-08-25,6.370192,6.400240,6.280048,6.320112,1.333001,638976
1970-08-26,6.320112,6.360176,6.290064,6.300080,1.328776,701376
1970-08-27,6.300080,6.370192,6.290064,6.300080,1.328776,351936
1970-08-28,6.300080,6.410256,6.290064,6.330128,1.335114,537888
1970-08-31,6.330128,6.350160,6.290064,6.290064,1.326663,305760
1970-09-01,6.290064,6.300080,6.209936,6.260016,1.320326,408096
1970-09-02,6.260016,6.260016,6.139824,6.239984,1.316101,369408
1970-09-03,6.270032,6.360176,6.270032,6.310096,1.330888,237120
1970-09-04,6.310096,6.320112,6.260016,6.300080,1.328776,335712
1970-09-08,6.300080,6.390224,6.239984,6.390224,1.347790,341952
1970-09-09,6.390224,6.470353,6.370192,6.400240,1.349902,690144
1970-09-10,6.400240,6.420272,6.380208,6.410256,1.352013,228384
1970-09-11,6.410256,6.460337,6.390224,6.430288,1.356239,415584
1970-09-14,6.430288,6.450321,6.380208,6.380208,1.345677,340704
1970-09-15,6.380208,6.380208,6.330128,6.350160,1.339339,292032
1970-09-16,6.350160,6.420272,6.310096,6.410256,1.352013,404352
1970-09-17,6.430288,6.560497,6.430288,6.490385,1.368914,520416
1970-09-18,6.490385,6.550481,6.450321,6.480369,1.366802,314496
